Details,Predict Type of finding,Type of finding
พบทีมงานทาสียืนบนท่อ,Unsafe Action,Unsafe Action
"Materials นั่งร้าน, Insulation กองรวมกัน ไม่ได้จัดเก็บออกจากพื้นที่
",Unsafe Condition,Unsafe Condition
ตรวจสอบ Work permit Safety lead reapprove work ล่วงหน้า,Unsafe Action,Unsafe Action
ตรวจสอบงาน lube oil cleaning GTG พบ JSA ไม่คลอบคลุมขึ้นตอนการ drain oil ออกนอกระบบ,Unsafe Action,Unsafe Action
ตรวจสอบงาน Stop leak หน้าแปลน line super steam พนักงานไม่ใส่ face shield,Unsafe Action,Unsafe Action
Rigger อยู่ใน Line of fire ขณะที่มีการ Swing boom รถเฮี้ยบ,Unsafe Action,Unsafe Action
งานยกไม่ได้มีการปิดล้อมพื้นที่,Unsafe Action,Unsafe Condition
ทำการตรวจสอบการเตรียมงานพบว่ามีผ้าใบสลิงชำรุด 1เส้น,Unsafe Action,Unsafe Action
พบ W/P OCU-CH-001 ไม่มีการตรวจเช็คค่าแก็สตามข้อกำหนด,Unsafe Action,Unsafe Action
"งาน HW I
ใช้ JSA ของงาน TA",Unsafe Action,Unsafe Action
แนบ HW I Cert. Checklist Version เก่า,Unsafe Action,Unsafe Action
พบทีมงาน Megabolt ประแจตีและปากตายไม่ได้ผูกเชือกสำหรับคล้องมือ ให้ทำการหาเชือกมาผูกเรียบร้อย,Unsafe Action,Unsafe Action
พบผู้ปฏิบัติงานขนสาย hose ไม่สวมถุงมือขณะทำงาน,Unsafe Action,Unsafe Action
พบเศษใยแก้วกองตามพื้น,Unsafe Condition,Unsafe Condition
มีไอ steam  blow ออกสู่บรรยากาศ และ drain condensate ลงรางระบายน้ำ จึงได้ทำการล้อมด้วยธงขาวแดงชั่วคราว,Unsafe Condition,Unsafe Condition
จุดที่น้ำมันล้นออกจาก line drain แจ้ง Operation และจัดเก็บคราบน้ำมันเรียบร้อย,Near Miss,Near Miss
ใช้ Generator โดยไม่ได้ตรวจสอบก่อน (ไม่มี Checklist),Unsafe Action,Unsafe Action
ใช้ไม้รองถาดรองน้ำมัน Generator,Unsafe Condition,Unsafe Condition
พบผู้ปฏิบัติงานหุ้ม insulation แต่ลืมคล้อง harness,Unsafe Action,Unsafe Action
ตรวจพบงาน Hot work class I ขณะปฏิบัติงานไม่มี Safety จป. อยู่หน้างาน มีเพียง Safety lead ตัวสำรอง(ตัวจริงที่ sign work ไปห้องน้ำ)เฝ้างาน และ Fire watch ไม่มีเครื่อง Check gas,Unsafe Action,Unsafe Action
พบทีมงานหุ้ม insulation ไม่สวมถุงมือขณะปฎิบัติงาน,Unsafe Action,Unsafe Action
พบสายกราวน์วางพาดขวางทางเดิน ,,Unsafe Condition
พบเครื่องกำเนิดไฟฟ้ายังไม่ผ่านการตรวจสภาพที่หน้างาน,Unsafe Action,Unsafe Condition
พบบันไดนั่งร้านถูกนำมาพาดใช้งาน,,Unsafe Condition
พบท่อนั่งร้านขวางทางเดินเข้า-ออก,,Unsafe Condition
พบมีเศษวัสดุอุปกรณ์ขวางทางเข้า Eye washer,Unsafe Action,Unsafe Condition
พบสลิงผ้าใบที่นำมาใช้งานยก มีลักษณะขาดชำรุด,Unsafe Condition,Unsafe Condition
ตรวจสอบงาน Chemical Loading (OPE&Nalco) การปิดกั้นพื้นที่ยังไม่เป็นมาตรฐาน มีแค่กรวยวางเป็นแนว,Unsafe Condition,Unsafe Condition
งานหุ้ม Insulation บนที่สูง ไม่มีการปิดกั้นพื้นที่ด้านล่าง,Unsafe Action,Unsafe Condition
ตรวจสอบงาน hot work class I ในงานทีอับอากาศ พบว่ามีแค่ช่างเชื่อม และ F/W,Unsafe Action,Unsafe Action
บันได ทีต้องเพิ่มในกรณีเกิดเคส Emergency ยังไม่มีการแก้ไข,Unsafe Action,Unsafe Condition
ทำงานบนหลังตู้คอนเทรนเนอร์ โดยใช้บันไดปีนขึ้น และไม่มีผู้จับบันได,Unsafe Action,Unsafe Action
ใช้ลวดแทน safety sling,Unsafe Action,Unsafe Condition
พบที่หน้างานมีถังน้ำมันทั้งเก่าและใหม่วางบริเวณข้าง pump lube oil,Unsafe Action,Unsafe Condition
พบนั่งร้านแบบเคลื่อนที่ยังไม่ได้ Re-inspection จึงแขวน Tag แดงไว้ก่อน,Unsafe Action,Unsafe Condition
พบแผ่นนั่งร้านและท่อ กองวางอยู่บน Pipe rack,Unsafe Action,Unsafe Condition
ตรวจสอบงานยกไม่การปิดล้อมพื้นที่,Unsafe Action,Unsafe Condition
สายไฟลากผ่านถนนมีการ protection ไม่คลอบคลุม,Unsafe Condition,Unsafe Condition
มีงานเชื่อม 2 จุด HOT BOX แต่ มี F/W 1 คน,Unsafe Action,Unsafe Action
งานยกอุปกรณ์ด้วยเฮี๊ยบ การปิดกั้นพื้นที่ไม่ได้มาตรฐาน,Unsafe Condition,Unsafe Condition
ถังดับเพลิงที่ติดมากับรถดูดทรายชำรุด ซึ่งมีการนำถัง Spare มาใช้งานแทน แต่ไม่ได้จัดวางไว้ในพื้นที่ที่สังเกตเห็นได้,Unsafe Condition,Unsafe Condition
ผู้ปฏิบัติงานขึ้นที่สูง ปีนป่ายตาม pipe rack โดยสวม harness เพื่อนำชิ้นงานเป็นท่อ ลงมาจาก pipe rack ด้วยเชือกผูกลงมา,Unsafe Action,Unsafe Action
สาย hose ที่ใช้ในการเป่าทำความสะอาด ข้อต่อไม่ได้ใส่สลัก,Unsafe Condition,Unsafe Condition
งานโหลดสารเคมีของ OPE/Nalco ปิดกั้น barricade งานยก ใช้ยูโรเทป,Unsafe Condition,Unsafe Condition
