FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Details,TranslateDetails,Frequency,CleansingFinding,TranslateFinding
123,Catalyst&Pilot plant,-,-,Unsafe Condition,Work Procedure,"ตรวจสอบพบ JSA ขาดการตรวจสอบมาตราการ หัวข้อ 6.1 ",Welding Cutting Pipe Support,Welding Cutting Pipe Support,31,ตรวจสอบพบ jsa ขาด6.1ตรวจสอบมาตรายหัว ข้อ,check found missing jsa 6.1 check section heading
123,Catalyst&Pilot plant,-,-,Unsafe Condition,Work Procedure,"ตรวจสอบพบ JSA ขาดการตรวจสอบมาตราการ หัวข้อ 6.1 ",Welding Cutting Pipe Support Unicat,Welding Cutting Pipe Support Unicat,31,ตรวจสอบพบ jsa ขาด6.1ตรวจสอบมาตรายหัว ข้อ,check found missing jsa 6.1 check section heading
125,PP1,-,-,Unsafe Condition,-,ตรวจสอบพบ Work Permit ขาดการตรวจสอบและเซ็นเอกสารรับรองหัวข้อใน Work Permit หัวข้อที่ 3 (มีการปฏิบัติงานแล้ว),"Load CHAMICAL ",Load CHAMICAL,15,"ตรวจสอบพบ work permit ขาดตรวจสอบ , เซ็นเอกสารรับรองหัวข้อใน work permit หัวข้อที่ มีปฏิบัติงานแล้ว","Check if the work permit is missing, check, sign a document certifying the topics in the work permit topics that have already been operated."
128,HDPE4,-,-,Unsafe Condition,-," ผู้ขออนุญาตไม่ได้ระบุชนิด PPE ให้ครอบคลุมตามลักษณะงานที่ทำ ตามการประเมินความเสี่ยงในJSA เรื่องการป้องกันการหายใจ",Uninstall Insulation,Uninstall Insulation,17,ผู้ขออนุญาตไม่ได้ระบุชนิด ppe ให้ครอบคลุมตามลักษณะงานที่ทำ ตามการประเมินความเสี่ยงในjsa เรื่องการป้องกันหายใจ,The applicant did not specify the type of ppe to cover the type of work performed. according to the risk assessment in jsa about breathing protection
131,HDPE4,-,-,Unsafe Condition,-,"มีการทำLOTO แต่หน้าwork permit ไม่ได้เลข Lock box ",Install Pipe & Support Z-7404,Install Pipe & Support Z-7404,26,มีwork permitทำloto แต่หน้าwork permit ไม่ได้เลข lock box,"I have a work permit to do loto, but the work permit page doesn't get the lock box number."
131,HDPE4,-,-,Unsafe Condition,-,"มีการทำLOTO แต่หน้าwork permit ไม่ได้เลข Lock box ",Remove Valve,Remove Valve,26,มีwork permitทำloto แต่หน้าwork permit ไม่ได้เลข lock box,"I have a work permit to do loto, but the work permit page doesn't get the lock box number."
133,HDPE4,-,-,Unsafe Condition,-,"มีงานยกด้วยรถเครน ผู้ขออนุญาตไม่ได้ระบุ Lifting Plan Certificate ที่หน้า work permit  ",Remove Motor,Remove Motor,25,มีงานยกด้วยรถเครน ผู้ขออนุญาตไม่ได้ระบุ lifting plan certificate ที่หน้า work permit,There are lifting jobs with cranes. The applicant did not specify a lifting plan certificate on the work permit page.
137,PP3,-,-,Unsafe Condition,-,"ตรวจสอบจากสำเนาworkpermit ที่ประตูD3 พบว่า Permit Requestor & safety lead เซ็นชื่อรับรองความปลอดภัยหน้างาน ในข้อ 3 ก่อนเข้าไปถึงหน้างานจริง ",Install Handrail,Install Handrail,6,"ตรวจสอบจากสำเอาwork permit ที่ประตู พบว่า permit requestor , safety lead เซ็นชื่อรับรองความปลอดภัยหน้างาน ในข้อ ก่อนเข้าไปถึงหน้างานจริง","Checking from the copy of the work permit at the door found that the permit requestor, safety lead signed to certify safety at the work site in the item before entering the actual work site."
138,PP3,-,-,Unsafe Condition,Installation/ Alignment,"- ตรวจสอบจากสำเนาworkpermit ที่ประตูD3 พบว่า Permit Requestor & safety lead เซ็นชื่อรับรองความปลอดภัยหน้างาน ข้อ 3 ก่อนเข้าไปถึงหน้างานจริง ",Install Handrail F-3301,Install Handrail F-3301,55,"ตรวจสอบจากสำเอาwork permit ที่ประตูพบว่าpermit requestor , safety lead เซ็นชื่อรับรองความปลอดภัยหน้างาน ข้อ ก่อนเข้าไปถึงหน้างานจริง","Checking from the work permit copy at the door found that the permit requestor, safety lead signed to certify safety at the work site before entering the actual work site."
138,PP3,-,-,Unsafe Condition,Installation/ Alignment,"- ตรวจสอบจากสำเนาworkpermit ที่ประตูD3 พบว่า Permit Requestor & safety lead เซ็นชื่อรับรองความปลอดภัยหน้างาน ข้อ 3 ก่อนเข้าไปถึงหน้างานจริง ",Check stem valve leak,Check stem valve leak,55,"ตรวจสอบจากสำเอาwork permit ที่ประตูพบว่าpermit requestor , safety lead เซ็นชื่อรับรองความปลอดภัยหน้างาน ข้อ ก่อนเข้าไปถึงหน้างานจริง","Checking from the work permit copy at the door found that the permit requestor, safety lead signed to certify safety at the work site before entering the actual work site."
142,CPD Pipe Site3,-,-,Unsafe Condition,-,ตรวจพบว่ามาตรการที่ระบุใน JSA ไม่มีการตรวจสอบก่อนเริ่มงาน,เปลี่ยน Weighing Contorller,Change Weighing Contorller,15,ตรวจพบว่ามาตรการที่ระบุใน jsa ไม่มีตรวจสอบก่อนเริ่มงาน,Detected that the measures specified in jsa are not validated before starting the job.
