FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Details,TranslateDetails
87,Ware house Site7,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบจุดวางทินเนอร์ ไม่มี SDS ,Thinner drop point detected. No SDS.
88,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบงานเจียร Grinding ไม่ใส่ Handle ขณะทำการเจียร ,"Check to find grinding work. Grinding, do not put handle while grinding."
89,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบเอกสาร Safe Work Certificate
SE-F-0189 Rev.007 งานที่ก่อให้เกิดประกายไฟ
พบการลงรายละเอียดส่วนที่ 3 ก่อนเสร็จงาน 30 นาที ตามเวลาดังรูป (ลงข้อมูลโดย Safety Lead ข้อมูลดังกล่าวต้องลงข้อมูลโดย Fire Watch)","Verify Safe Work Certificate documents
SE-F-0189 Rev.007 Sparking Work
Found the details of the 3rd part 30 minutes before the completion of the job, according to the time shown in the picture (information by Safety Lead, such information must be entered by Fire Watch)"
90,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบเอกสารแนบ Safe Work Certificate ส่วน Work Permit ไม่มีการติ๊กข้อมูลข้อ 1.4 หัวข้อ งานบนที่สูง,The Safe Work Certificate attachment was found. The Work Permit section is unchecked in clause 1.4 on the topic of work at height.
91,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ Safe work Certificate งานที่สูง มีการตรวจสอบข้อมูลโดยเจ้าของงานก่อนเริ่มทำงาน ข้อที่ 5 ข้อมูลไม่ตรงกับหน้างานจริง,"Check Safe work Certificate. High work. Information is checked by the owner of the job before starting work. Item 5, the information doesn't match the actual job page."
92,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบเอกสาร Safe Work Certificate งานบนที่สูง พบมีการตรวจสอบที่ไม่ตรงกับหน้างานรื่อง บันได A บันไดพาด,"Inspect Safe Work Certificate documents. Work at height. Found that there is an inspection that doesn't match the job site. Ladder A, Ladder."
93,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบงานเชื่อม พบคู่ร่วมธุรกิจบริษัท ECE ผู้ช่วยช่างมีงานเชื่อมแต่ผู้ช่วยช่างไม่สวมใ่ Mask ป้องกันอันตรายจากฟูมงานเชื่อม,Check for welding Meet the business partner of ECE Company. Assistant technician has welding work but assistant technician doesn't wear a mask to prevent danger from welding fume.
94,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบมีการทำงานบนที่สูง แต่พบไม่การประเมิน JSA การทำงานบนที่สูง,It was found to be working at heights. but found no JSA assessment of working at height
95,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ Work Permit มีงานบนที่สูง แต่ขาดการลงข้อมูลในหัวข้อที่ 4 งานบนที่สูง,"Detected Work Permit. There are jobs at heights. but lack of information on topic 4, work at height"
96,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบมีการทำงานบนที่สูงแต่ขาดเอกสารแนบ Safe Work Certificate งานบนที่สูง,"Found working at height but missing attachments, Safe Work Certificate, working at height"
97,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ Work Permit ไม่ระบุข้อมูลลงในเอกสาร ไม่ติ๊กข้อมูลงานยกและงานบนที่สูง,Detected Work Permit did not specify information in the document. Do not tick the information of lifting work and work at height.
98,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบมีการทำงานบนที่สูงแต่สน JSA ไม่พบการประเมินการทำงานบนที่สูง,"Work at height was found, but JSA did not find an assessment of working at height."
99,PP1,Unknown,Unknown,Unsafe Action,Unknown,มีการทำงานบนที่สูงไม่พบเอกสาร Safe Work Certificate SE-F-0286 Rev.002 แนบ,"Working at height, no Safe Work Certificate SE-F-0286 Rev.002 attached."
100,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ Work Permit ไม่ระบุข้อมูลลงในเอกสาร ไม่ติ๊กข้อมูลงานยกและงานบนที่สูง,Detected Work Permit did not specify information in the document. Do not tick the information of lifting work and work at height.
101,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบมีการทำงานบนที่สูงตรวจสอบเอกสาร JSA พบไม่มีการประเมินความเสี่ยงในการทำงานบนที่สูง,"The audit was working at height, the JSA audit document found no risk assessment in working at height."
102,PP1,Unknown,Unknown,Unsafe Action,Unknown,พบการทำงานบนที่สูงบนนั่งร้านไม่สวมใส่ Safety Harness ,Found working at height on scaffolding without wearing Safety Harness.
103,PP2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสาร Work Permit พบมีการลงทำงานในบ่อลึก 2 เมตร ถือว่าเป็นงานที่สูงไม่ติ๊กข้อมูลในหัวข้อ 1.4 งานบนที่สูง,"Checking the Work Permit document, it was found that working in a pond depth of 2 meters is considered a high job without ticking the information in section 1.4 work at height."
104,PP2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสารแนบ Safe Work Certificate SE-F-0286 Rev.002 งานบนที่สูง ไม่พบเอกสารแนบ,Check attachment Safe Work Certificate SE-F-0286 Rev.002 Work at height Attachment not found.
105,PP2,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบ JSA พบ Safety Lead ไม่ทำการตรวจสอบมาตราการก่อนเริ่มทำงานหัวข้อ 1.6  และทำการประเมิน JSA หัวข้อ 5.1,5.2 ใหม่เพราะงานมีความเสี่ยง","JSA audit found Safety Lead did not perform a pre-work measure 1.6 and re-evaluated JSA sections 5.1,5.2 because the job was risky."
106,PP2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสา Safe Work Certificate งานยก SE-F-0213 Rev.004 พบการตรวจสอบเอกสารในหัวข้อ 2.3 และ 2.5 มีการลงข้อมูลแต่หน้างานจริงไม่มีปฏิบัติ ,"Inspecting Safe Work Certificate documents, lifting work SE-F-0213 Rev.004, found documents in section 2.3 and 2.5 with data entry, but the actual job site was not implemented."
