FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Frequency,CleansingFinding,TranslateFinding
83,HDPE3,-,-,Unsafe Condition,Work Procedure,ประเมิน JSA ไม่ครอบคลุม เนื่องจากมีการนำรถเข้ามาในเขตขบวนการผลิต แต่ไม่มีการประเมินเรื่องอันตรายและมาตรการป้องกัน,55,ประเมิน jsa ไม่ครอบคลุม เนื่องจากมีการนำรถเข้ามาในเขตขบวนการผลิต แต่ไม่มีการประเมินเรื่องอันตรายและมาตรการป้องกัน,Evaluate jsa is not covered because the car is brought into the production area. But there is no assessment of dangers and preventive measures.
471,Store Site7,-,-,Unsafe Condition,Civil,มีงานขุดและแนบCer.งานขุด แต่ผู้ขออนุญาตไม่ได้เช็คว่ามีCer. งานขุดที่ข้อ 1.4 บน work permit,6,มีงานขุดและแนบcer.งานขุด แต่ผู้ขออนุญาตไม่ได้เช็คว่ามีcer. งานขุดที่ข้อ 1.4 บน work permit,There is an excavation job and a cer. Excavation job But the requester did not check whether there was a cer. Mining work at clause 1.4 on the work permit
77,PP1,-,-,Unsafe Condition,Civil,Spark arrester ที่ครอบปลายท่อไอเสียเครื่องยนต์ของเครื่อง Water jet ขาดชำรุดไม่อยู่ในสภาพพร้อมใช้งาน,1,spark arrester ที่ครอบปลายท่อไอเสียเครื่องยนต์ของเครื่อง water jet ขาดชำรุดไม่อยู่ในสภาพพร้อมใช้งาน,The spark arrester that covers the end of the exhaust pipe of the water jet engine is broken and is not ready for use.
179,HDPE2,-,-,Unsafe Condition,PPE,JSA ที่แนบมาไม่สอดคล้องกับงานที่ปฎิบัติ,35,jsa ที่แนบมาไม่สอดคล้องกับงานที่ปฎิบัติ,The attached jsa is inconsistent with the work performed.
409,PP1,-,-,Unsafe Condition,Electrical & Grounding,พบการทำงานบนที่สูงบนนั่งร้านไม่สวมใส่ Safety Harness ,43,พบการทำงานบนที่สูงบนนั่งร้านไม่สวมใส่ safety harness,Found working at heights on scaffolding without wearing a safety harness.
543,HDPE4,-,-,Unsafe Condition,Chemical Work,เอกสารJSAไม่ครบ,8,เอกสารjsaไม่ครบ,incomplete jsa documentation
578,CPD Site1,-,-,Unsafe Condition,SL Performance,ตรวจสอบพบผู้ปฏิบัติงานเชื่อมไม่สวมใส่ MASK ขณะปฏิบัติงานเชื่อม ,18,ตรวจสอบพบผู้ปฏิบัติงานเชื่อมไม่สวมใส่ mask ขณะปฏิบัติงานเชื่อม,Check that welding workers do not wear masks while working.
90,HDPE2,-,-,Unsafe Condition,-,มีกำหนด Simple lock แต่ไม่มีการลงข้อมูลรายละเอียด ซึ่งใน JSA มีมาตรการกำหนดไว้,15,มีกำหนด simple lock แต่ไม่มีการลงข้อมูลรายละเอียด ซึ่งใน jsa มีมาตรการกำหนดไว้,"Simple lock is defined, but no details are entered, which in jsa has defined measures."
445,Truck scale Site7,-,-,Unsafe Condition,-,การลงชื่อผู้ปฎิบัติงานไม่ถูกต้อง มีการลงชื่อแทนโดยหัวหน้างาน,20,การลงชื่อผู้ปฎิบัติงานไม่ถูกต้อง มีการลงชื่อแทนโดยหัวหน้างาน,The worker's signature is invalid. It is signed on behalf of the supervisor.
303,HDPE4,-,-,Unsafe Condition,-,ผู้ขออนุญาต ไม่ได้เลือก Certificate WAH ที่หน้า work permit ซึ่งลักษณะงานที่ทำงาน บนงานบนที่สูง,61,ผู้ขออนุญาต ไม่ได้เลือก certificate wah ที่หน้า work permit ซึ่งลักษณะงานที่ทำงาน บนงานบนที่สูง,The applicant did not select a certificate wah at the work permit page. on work at height
813,Warehouse Site10,-,-,Unsafe Condition,-,ผู้ขออนุญาตและ safety lead ไม่ลงเวลาและวันที่ ในหัวข้อ3 การรับรองความปลอดภัยที่หน้างาน,5,ผู้ขออนุญาตและ safety lead ไม่ลงเวลาและวันที่ ในหัวข้อ3 การรับรองความปลอดภัยที่หน้างาน,"The applicant and the safety lead do not post the time and date in topic 3, safety certification at the site."
