No.,Details,Area,SubArea,Contractor,TypeOfFinding,Topic,CleansingDetails,TransCleansingDetails
102,พบมีงานตัด เจียร ล้อมผ้ากันไฟไม่ครบทุกด้าน และไม่มีถังดับเพลิง ,Olefins2,-,PSA,Unsafe Condition,Hot Work,"พบมีงานตัด เจียร ล้อมผ้ากันไฟไม่ครบทุกด้าน , ไม่มีถังดับเพลิง","Found that there is no cutting, grinding work, surrounded by fireproof cloth on all sides, no fire extinguishers."
103,"งานหุ้มInsulation
1.จุดผสมน้ำยาไม่มีถาดรอง
2.ไม่มีรายละเอียดของน้ำยาหรือSDSระบุในการนำมาใช้งาน",Olefins2,"Cold Box
",TNE,Unsafe Condition,Insulation,"งานหุ้มinsulation, 1.จุดผสมน้ำยาไม่มีถาดรอง, 2.ไม่มีรายละเอียดของน้ำยาหรือsdsระบุในการนำมาใช้งาน","Insulation cladding, 1. Mixing point without tray, 2. No details of reagent or SDS specified for use."
104,ใช้งานตู้จ่ายไฟโดยไม่ได้ตรวจสอบ Daily Checklist,HOT,GTG,ABB,Unsafe Action,Electrical & Grounding,ใช้งานตู้จ่ายไฟโดยไม่ได้ตรวจสอบ daily checklist,Operate the power supply without checking the daily checklist.
105,นั่งร้านรอรื้อถอน ไม่ได้แขวน Tag แดง,HOT,GTG,ABB,Unsafe Condition,Scaffolding,นั่งร้านรอรื้อถอน ไม่ได้แขวน tag แดง,"Scaffolding waiting to be demolished, did not hang the red tag"
106,อุปกรณ์ระหว่างการใช้งานจัดเก็บไม่เรียบร้อยกีดขวางทางเดิน,HOT,GTG,ABB,Unsafe Condition,Housekeeping,อุปกรณ์ระหว่างการใช้งานจัดเก็บไม่เรียบร้อยกีดขวางทางเดิน,"Equipment during use is not neatly stored, obstructing the corridor."
107,จุดปฏิบัติงาน ได้รับผลกระทบจากเสียงดังของ Steam blowing,Olefins2,Compressor,CAPK,Unsafe Action,Pressure test,จุดปฏิบัติงาน ได้รับผลกระทบจากเสียงดังของ steam blowing,point of operation Affected by the noise of steam blowing
108,ใช้กำมะรอคล้องกับSupport โดยตรง,Olefins2,H-S120A,RNC,Unsafe Condition,Lifting,"ใช้กำมะรอคล้อง, support โดยตรง","Use the bundle to hold, support directly"
109,ติดตั้งนั่งร้านเสร็จแล้วไม่มีการแขวน Tag แสดงสถานะ,Olefins2,PR-22,SR,Unsafe Condition,Scaffolding,ติดตั้งนั่งร้านเสร็จแล้วไม่มีการแขวน tag แสดงสถานะ,The scaffolding has been installed and there is no hanging tag to show the status.
110,ไม่คล้องเกี่ยว safety harness,Olefins2,-,TNE,Unsafe Action,Work at height,ไม่คล้องเกี่ยว safety harness,Not related to safety harness
111,พบรั้วกั้น Red zone ถูกอุปกรณ์นั่งร้านทับทำให้เป็นช่องเปิด,Olefins2,Heater,TTCL,Unsafe Condition,Work at height,พบรั้วกั้น red zone ถูกอุปกรณ์นั่งร้านทับทำให้เป็นช่องเปิด,"The red zone fence was found by the scaffolding device, making it an opening."
112,พบทีมงานทำงาน Clean Strainer และได้นำตัวเข้าไปในท่อ,Olefins2,PM-226A,TTCL,Unsafe Action,Water jet,"พบทีมงานทำงาน clean strainer , ได้นำตัวเข้าไปในท่อ","Found a team working clean strainer, brought into the pipe."
113,นั่งร้านยังไม่ดำเนินการแก้ไข จึงแขวน Tag แดงไว้ก่อน,Olefins2,"Cold Box
",TTCL,Unsafe Condition,Scaffolding,นั่งร้านยังไม่ดำเนินการแก้ไข จึงแขวน tag แดงไว้ก่อน,"The scaffolding hasn't been fixed yet, so hang the red tag first."
114,"นั่งร้านไม่มีการตรวจสอบแขวน Tag บอกสถานะ 
",Olefins2,Heater,TTCL,Unsafe Condition,Scaffolding,"นั่งร้านไม่มีการตรวจสอบแขวน tag บอกสถานะ,","Scaffolding without inspection, hang tag to tell the status,"
115,"พนักงานรื้อนั่งร้านไม่คล้องเกี่ยว Safety harness
",Olefins2,E-S672AB,SR,Unsafe Action,Work at height,"พนักงานรื้อนั่งร้านไม่คล้องเกี่ยว safety harness,","Scaffolding workers do not involve safety harness,"
116,เอกสาร JICA Checklist ไม่ถูกเซ็นต์ตรวจสอบมาตรการก่อนเริ่มงาน,Olefins2,C-S300,Ktion Power,Unsafe Action,PTW & JSA,เอกสาร jica checklist ไม่ถูกเซ็นต์ตรวจสอบมาตรการก่อนเริ่มงาน,The jica checklist document is not signed to check measures before starting work.
117,ไม่มีป้ายระบุพิกัดในการรับน้ำหนัก(SWL)ของคนและรอกในการยกขนย้าย Insulation,Olefins2,"Cold Box
",TNE,Unsafe Action,Lifting,"ไม่มีป้ายระบุพิกัดในการรับน้ำหนัก(swl)ของคน, รอกในการยกขนย้าย insulation","No labels for human weight (swl), hoist for lifting insulation."
118,พบผู้ปฏิบัติงานทำการขัดผิวชิ้นงานด้วยใบปัดหางเปีย ให้ทำการใส่ Face sheild เพิ่ม,Olefins2,PR-21,CAPK,Unsafe Action,PPE,พบผู้ปฏิบัติงานทำการขัดผิวชิ้นงานด้วยใบปัดหางเปีย ให้ทำการใส่ face sheild เพิ่ม,"Found an operator to polish the workpiece with a pigtail blade, add a face sheild."
119,"ระหว่างประกอบอุปกรณ์มีการวาง Bolt,Nut และเครื่องมือไว้กับพื้น เสี่ยงต่อการตกลงด้านล่าง",HOT,H-100C,RNC,Unsafe Condition,Work at height,"ระหว่างประกอบอุปกรณ์มีการวาง bolt , nut , เครื่องมือไว้, พื้น เสี่ยงต่อการตกลงด้านล่าง","During assembly, bolt, nut, tool are placed, the ground is at risk of falling below."
120,ใช้เทปพันจุดต่อสายไฟสำหรับเตรียมงานดูดน้ำ,Olefins2,Diversion Box,STATE,Unsafe Condition,Chemical Work,ใช้เทปพันจุดต่อสายไฟสำหรับเตรียมงานดูดน้ำ,Use duct tape to prepare the water suction job.
121,พบผู้ปฏิบัติงานทำงานไม่ใส่ถุงมือ,Olefins2,PR-11,CTL,Unsafe Action,PPE,พบผู้ปฏิบัติงานทำงานไม่ใส่ถุงมือ,Workers were found working without gloves.
122,พบมีงานทำความสะอาดรางระบายน้ำ มีการเปิดฝารางไว้และไม่กั้นพื้นที่,Olefins2,PR-15,TTCL,Unsafe Condition,Others,"พบมีงานทำความสะอาดรางระบายน้ำ มีการเปิดฝารางไว้, ไม่กั้นพื้นที่","Found a sewer cleaning job. The lid is open, not blocking the area."
123,พบถุงใส่ขยะจากการทำความสะอาดรางระบายน้ำยังไม่ได้ทำการจัดเก็บ,Olefins2,PR-15,STATE,Unsafe Condition,Housekeeping,พบถุงใส่ขยะจากการทำความสะอาดรางระบายน้ำยังไม่ได้ทำการจัดเก็บ,Garbage bags were found from cleaning the gutters that had not yet been collected.
